weight,z2,z3,z4,z5,z6,z7,z8
106,34.82,35.03,37.28,39.69,45.03,49.55,54.65
107,35.32,35.55,38.08,40.47,45.43,49.98,55.62
108,35.83,36.06,38.14,40.49,45.85,50.42,55.63
109,36.35,36.55,38.56,40.89,46.25,50.85,56.12
110,36.80,37.09,39.00,41.28,46.70,51.30,56.61
111,37.20,37.51,39.82,41.68,47.09,51.72,57.22
112,37.96,38.28,40.25,42.09,47.49,52.18,57.84
113,38.00,38.31,40.69,42.48,47.92,52.61,58.89
114,38.40,39.11,41.14,43.30,48.73,53.49,59.28
115,38.82,39.55,41.20,43.42,48.73,53.49,59.28
116,39.22,39.70,42.04,43.62,49.06,53.81,59.65
117,39.62,40.12,42.46,44.42,49.46,54.67,60.61
118,40.03,40.94,42.51,44.55,49.87,54.68,61.15
119,40.45,40.99,42.94,44.81,50.29,55.11,61.87
120,41.15,41.75,43.39,45.23,50.69,55.54,61.96
121,41.60,41.99,43.83,45.55,51.01,55.85,62.23
122,41.89,42.38,44.27,45.95,51.42,56.72,62.74
123,42.31,42.43,45.16,46.34,51.83,56.86,63.24
124,42.72,43.26,45.19,46.77,52.25,57.14,63.71
125,43.15,43.26,45.64,47.18,52.65,57.58,64.19
126,43.98,44.10,46.54,47.48,52.95,58.31,65.84
127,44.02,44.12,47.00,47.89,53.36,58.32,65.85
128,44.43,44.44,47.46,48.30,54.17,59.37,66.82
129,45.27,45.30,47.91,48.72,54.17,59.37,66.83
130,45.29,45.44,48.35,49.09,54.57,59.58,67.18
131,45.70,45.74,48.96,49.43,54.86,60.31,67.85
132,46.14,46.63,48.97,49.83,55.27,60.31,68.18
133,46.57,46.69,49.28,50.23,55.66,60.74,68.40
134,46.99,47.05,49.77,50.66,56.09,61.15,68.69
135,47.35,47.98,50.21,51.08,56.55,61.60,69.68
136,47.74,48.55,51.51,51.51,57.00,62.05,69.70
137,48.16,48.56,51.88,51.89,57.33,62.44,70.17
138,48.60,49.33,52.63,52.80,58.34,63.56,71.43
139,49.04,49.83,52.64,52.81,58.52,63.56,71.44
140,49.47,49.97,52.65,53.24,58.81,63.83,71.64
141,49.91,50.29,53.63,53.66,59.14,64.15,72.00
142,50.11,50.76,53.64,54.09,59.58,64.59,72.48
143,50.56,51.23,54.12,54.52,60.04,65.05,72.97
144,51.00,51.70,55.16,55.16,60.49,65.49,73.47
145,51.18,53.21,55.41,55.42,60.95,65.92,73.96
146,51.62,53.22,55.62,55.83,61.40,66.36,74.43
147,52.39,53.24,56.15,56.28,61.83,66.82,74.94
148,52.53,53.62,56.73,56.74,62.75,67.26,75.43
149,52.67,54.10,57.15,57.16,62.89,67.68,76.28
150,53.13,54.59,58.09,59.07,63.22,68.15,76.78
